DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,1370.00,1515.00,UA,13930,ORD,12889,LAS,8
12.00,1370.00,1605.00,UA,11618,EWR,11292,DEN,7
12.00,1371.00,1085.00,F9,11267,DAY,11292,DEN,11
12.00,1371.00,1428.00,DL,13495,MSY,14869,SLC,6
12.00,1372.00,493.00,WN,10140,ABQ,14869,SLC,6
12.00,1372.00,867.00,UA,13930,ORD,10721,BOS,8
12.00,1372.00,966.00,FL,14635,RSW,14122,PIT,1
12.00,1372.00,972.00,FL,11697,FLL,11066,CMH,4
12.00,1373.00,926.00,DL,11433,DTW,13495,MSY,10
12.00,1374.00,390.00,UA,14869,SLC,11292,DEN,2
12.00,1374.00,777.00,WN,13232,MDW,10529,BDL,8
12.00,1374.00,1034.00,WN,15304,TPA,12391,ISP,8
12.00,1375.00,1050.00,AS,14747,SEA,14679,SAN,2
12.00,1375.00,1263.00,DL,14107,PHX,13244,MEM,9
12.00,1377.00,1111.00,WN,15304,TPA,10529,BDL,8
12.00,1377.00,1416.00,DL,12889,LAS,13244,MEM,5
12.00,1379.00,853.00,CO,13204,MCO,12266,IAH,10
12.00,1380.00,748.00,DL,13487,MSP,10620,BIL,12
12.00,1380.00,1020.00,WN,12191,HOU,14107,PHX,12
12.00,1383.00,472.00,WN,13871,OMA,11292,DEN,8
12.00,1385.00,951.00,WN,14100,PHL,14027,PBI,8
12.00,1385.00,1591.00,DL,12889,LAS,12339,IND,2
12.00,1385.00,2381.00,US,10721,BOS,12889,LAS,12
12.00,1386.00,683.00,DL,13204,MCO,13244,MEM,6
12.00,1387.00,732.00,DL,10397,ATL,11298,DFW,8
12.00,1387.00,972.00,WN,14683,SAT,15304,TPA,2
12.00,1391.00,1489.00,WN,13198,MCI,14747,SEA,8
12.00,1392.00,282.00,DL,13871,OMA,13487,MSP,7
12.00,1393.00,936.00,US,11057,CLT,11298,DFW,7
12.00,1394.00,370.00,US,14107,PHX,12892,LAX,10
12.00,1394.00,430.00,US,11057,CLT,11042,CLE,12
12.00,1394.00,919.00,WN,14635,RSW,10821,BWI,3
12.00,1395.00,1454.00,SY,13487,MSP,14262,PSP,2
12.00,1396.00,307.00,WN,13232,MDW,11042,CLE,8
12.00,1397.00,1533.00,AS,11630,FAI,14747,SEA,9
12.00,1399.00,453.00,US,11433,DTW,14100,PHL,4
12.00,1399.00,525.00,UA,11292,DEN,10849,BZN,12
12.00,1399.00,1733.00,WN,14747,SEA,13232,MDW,2
12.00,1399.00,1751.00,WN,12892,LAX,13232,MDW,7
12.00,1400.00,413.00,UA,10721,BOS,12264,IAD,8
12.00,1401.00,760.00,DL,10397,ATL,12478,JFK,12
12.00,1402.00,1107.00,WN,14107,PHX,14747,SEA,5
12.00,1404.00,254.00,WN,15016,STL,14730,SDF,10
12.00,1405.00,866.00,AS,12889,LAS,14747,SEA,2
12.00,1406.00,879.00,U5,14635,RSW,11193,CVG,4
12.00,1406.00,2329.00,UA,12892,LAX,10821,BWI,8
12.00,1407.00,525.00,UA,10849,BZN,11292,DEN,12
12.00,1407.00,1167.00,CO,11618,EWR,13495,MSY,7
